Name,Lines,Lat,Lng
abbiategrasso,M2  ,45.4299949010351,9.17732280788232
affori centro,M3  ,45.5137285074384,9.17383690211541
affori fn,M3  ,45.5203764090156,9.16951597753985
amendola,M1  ,45.473660909418,9.15110745080934
bande nere,M1  ,45.4619329497227,9.13696166870049
bicocca,M5  ,45.5161905641282,9.20571750046143
bignami,M5  ,45.525694470319,9.21124441442423
bisceglie,M1  ,45.455038987859,9.1125389913326
bonola,M1  ,45.4961605217144,9.11081182811507
brenta,M3  ,45.4439333834125,9.21645176937589
buonarroti,M1  ,45.4709559235388,9.15469043260485
bussero,M2  ,45.5253016625452,9.37589692165833
ca' granda,M5  ,45.5060066599233,9.20080064988621
cadorna,M1 M2 ,45.4674770167676,9.17671413831676
caiazzo,M2  ,45.4856129233009,9.209306642203
cairoli,M1  ,45.4683140308826,9.18257904344387
cascina antonietta,M2  ,45.5420794775495,9.42350019149011
cascina burrona,M2  ,45.5173643568875,9.29783542421091
cascina gobba,M2  ,45.5114237561134,9.26034589446469
cassina de' pecchi,M2  ,45.521864033703,9.36312160213117
cenisio,M5  ,45.4874027782905,9.17305506951547
centrale,M2 M3 ,45.4869978630769,9.20277672045857
cernusco sul naviglio,M2  ,45.5210690111993,9.33137771302968
cimiano,M2  ,45.49960285237,9.24212918051774
cologno centro,M2  ,45.5280786244726,9.28281849640212
cologno nord,M2  ,45.5355045348245,9.29200937585957
cologno sud,M2  ,45.5197447059487,9.27397861254615
comasina,M3  ,45.5288383081985,9.1633249670817
conciliazione,M1  ,45.467647022601,9.16554528980617
cordusio,M1  ,45.4658520731172,9.18547106510045
corvetto,M3  ,45.439644476885,9.22329171146042
crescenzago,M2  ,45.5051427922989,9.24660106598416
crocetta,M3  ,45.4559341973187,9.19560001262714
de angeli,M1  ,45.4663389693107,9.14763552850875
dergano,M3  ,45.5047176229583,9.18000789921947
domodossola,M5  ,45.4814457851761,9.1618512563932
duomo,M1 M3 ,45.4632121245754,9.18972297119549
famagosta,M2  ,45.436577361065,9.16872743550024
gambara,M1  ,45.4645059532236,9.14176257881805
garibaldi,M2 M5 ,45.4836397010296,9.18674240788565
gerusalemme,M5  ,45.4845217522064,9.16677778724863
gessate,M2  ,45.545287231276,9.43662513013151
gioia,M2  ,45.4851638895193,9.19573478866288
gorgonzola,M2  ,45.5367410010093,9.40345410780515
gorla,M1  ,45.5066781357509,9.22306037343079
inganni,M1  ,45.4572539840801,9.12262587122405
isola,M5  ,45.4876083010289,9.19126340788434
istria,M5  ,45.5019856912442,9.19664571737629
lambrate,M2  ,45.4842475010261,9.23482980786629
lampugnano,M1  ,45.4894626161074,9.12434468424116
lanza,M2  ,45.4723429569661,9.1816190412719
lima,M1  ,45.4803940016484,9.21095067239153
loreto,M1 M2 ,45.4858889044849,9.21564757421325
maciachini,M3  ,45.4979597206209,9.18459089993747
marche,M5  ,45.4959167415215,9.19438475984993
missori,M3  ,45.4602031189369,9.18884205885316
molino dorino,M1  ,45.5050953544743,9.09307801896837
montenapoleone,M3  ,45.4693060496454,9.19200492642361
monumentale,M5  ,45.4846034892444,9.18063356467799
moscova,M2  ,45.4777579025958,9.18411700364583
pagano,M1  ,45.4681799580495,9.16101234253297
palestro,M1  ,45.4726350210288,9.20309479277489
pasteur,M1  ,45.4908748376254,9.2179185347647
pero,M1  ,45.5110692808122,9.08559302854951
piola,M2  ,45.4807649882457,9.22537646762842
ponale,M5  ,45.5221754946172,9.20984541266312
porta genova,M2  ,45.452222,9.17
porta romana,M3  ,45.4514341010313,9.20340020787463
porta venezia,M1  ,45.475,9.205556
portello,M5  ,45.4814637886048,9.15166136456452
porto di mare,M3  ,45.4378774719723,9.23181663500336
precotto,M1  ,45.5130276627679,9.22465030692211
primaticcio,M1  ,45.4596719816126,9.13066975675946
qt8,M1  ,45.4858337182545,9.13749754865091
repubblica,M3  ,45.4778729804584,9.19612981798544
rogoredo,M3  ,45.4343745823733,9.23669656087892
romolo,M2  ,45.4436472876315,9.16732135984004
rovereto,M1  ,45.4952018016096,9.2195944717367
san babila,M1  ,45.4655650842291,9.1982949136666
san donato,M3  ,45.4285937148433,9.255727361952
san siro ippodromo,M5  ,45.4761277821242,9.12841068016522
san siro stadio,M5  ,45.4763367825204,9.11844184495317
segesta,M5  ,45.47509983503,9.13697860662866
sesto marelli,M1  ,45.5239245282024,9.22876418317316
sondrio,M3  ,45.4899718322099,9.20023975526927
turati,M3  ,45.4755620006146,9.19465892826158
turro,M1  ,45.5001167414803,9.22169842847623
udine,M2  ,45.4905139607554,9.23706127344271
uruguay,M1  ,45.4934565589293,9.11992071120874
villa san giovanni,M1  ,45.5168456059715,9.22609327112322
wagner,M1  ,45.4680199645904,9.15619342398314
